strain,fs_pop
CB1,hsp1
CB2,hsp1
CB3,hsp1
CB4,hsp1
CB5,hsp1
CB6,hsp1
CB7,hsp1
CB8,hsp1
CB9,hsp1
CB10,hsp1
CB11,hsp1
CB12,hsp1
CB13,hsp1
CB14,hsp1
CB15,hsp1
CB16,hsp1
CB17,hsp1
CB18,hsp1
CB19,hsp1
CB20,hsp1
CB21,hsp1
CB22,hsp1
CB23,hsp1
CB24,hsp1
CB25,hsp1
CB26,hsp1
CB27,hsp1
CB28,hsp1
CB29,hsp1
CB30,hsp1
CB31,hsp1
CB32,hsp1
CB33,hsp1
CB34,hsp1
CB35,hsp1
CB36,hsp1
CB37,hsp1
CB38,hsp1
CB39,hsp1
CB41,hsp1
CB42,hsp1
CB44,hsp1
CB45,hsp1
CB46,hsp1
CB47,hsp1
CB48,hsp1
CB49,hsp1
CB50,hsp1
CB51,hsp1
CB52,hsp1
CB53,hsp1
CB54,hsp1
CB55,hsp1
CB56,hsp1
CB57,hsp1
CB58,hsp1
CB59,hsp1
CB60,hsp1
CB61,hsp1
CB62,hsp1
CB63,hsp1
CB64,hsp1
CB65,hsp1
CB66,hsp1
CB67,hsp1
CB68,hsp1
CB69,hsp1
CB70,hsp1
CB71,hsp1
CB72,hsp1
CB73,hsp1
CB74,hsp1
CB75,hsp1
CB76,hsp1
CB77,hsp1
CB78,hsp1
CB79,hsp1
CB80,hsp1
CB81,hsp1
CB82,hsp1
CB83,hsp1
CB84,hsp1
CB85,hsp1
CB86,hsp1
CB87,hsp1
CB88,hsp1
CB89,hsp1
CB90,hsp1
CB91,hsp1
T001,hsp1
T012,hsp1
T019,hsp1
T020,hsp1
T022,hsp1
T026,hsp1
T028,hsp1
T029,hsp1
T031,hsp1
T063,hsp1
T073,hsp1
T076,hsp1
T082,hsp1
T085,hsp1
T088,hsp1
T100,hsp1
T102,hsp1
T103,hsp1
T107,hsp1
T108,hsp1
T109,hsp1
T111,hsp1
T122,hsp1
T123,hsp1
T125,hsp1
T127,hsp1
T128,hsp1
T130,hsp1
T133,hsp1
T134,hsp1
T137,hsp1
T138,hsp1
T146,hsp1
T151,hsp1
T153,hsp1
T155,hsp1
T156,hsp1
T157,hsp1
T158,hsp1
T159,hsp1
T163,hsp1
T164,hsp1
T165,hsp1
T166,hsp1
T167,hsp1
T168,hsp1
T170,hsp1
T171,hsp1
T174,hsp1
T175,hsp1
T181,hsp1
T183,hsp1
T190,hsp1
T191,hsp1
T192,hsp1
T194,hsp1
T197,hsp1
T201,hsp1
T202,hsp1
T209,hsp1
T210,hsp1
T211,hsp1
T212,hsp1
T213,hsp1
T216,hsp1
T217,hsp1
T220,hsp1
T223,hsp1
T226,hsp1
T228,hsp1
T229,hsp1
T234,hsp1
T236,hsp1
T237,hsp1
T238,hsp1
T239,hsp1
T242a,hsp1
T246,hsp1
T247,hsp1
T250,hsp1
T254,hsp1
T256,hsp1
T257,hsp1
T258,hsp1
T260,hsp1
T261,hsp1
T262,hsp1
T264,hsp1
T266,hsp1
T267,hsp1
T268,hsp1
T271,hsp1
T277,hsp1
T279,hsp1
T281,hsp1
T290,hsp1
T293,hsp1
T294,hsp1
T298,hsp1
T299,hsp1
T300,hsp1
T302,hsp1
T303,hsp1
T311,hsp1
T319,hsp1
T320,hsp1
CHL1,hsp2
CHL2,hsp2
CHL3,hsp2
CHL4,hsp2
CHL5,hsp2
CHL6,hsp2
CHL7,hsp2
CHL8,hsp2
CHL9,hsp2
CHL10,hsp2
CHL11,hsp2
CHL12,hsp2
CHL13,hsp2
CHL14,hsp2
CHL15,hsp2
CHL16,hsp2
CHL17,hsp2
CHL18,hsp2
CHL19,hsp2
CHL20,hsp2
CHL21,hsp2
CHL22,hsp2
CHL23,hsp2
CHL24,hsp2
CHL25,hsp2
CHL26,hsp2
CHL27,hsp2
CHL28,hsp2
CHL29,hsp2
CHL30,hsp2
CHL31,hsp2
CHL32,hsp2
CHL33,hsp2
CHL34,hsp2
CHL35,hsp2
CHL36,hsp2
CHL37,hsp2
CHL38,hsp2
CHL39,hsp2
CHL40,hsp2
CHL41,hsp2
CHL42,hsp2
CHL43,hsp2
CHL44,hsp2
CHL45,hsp2
CHL46,hsp2
CHL47,hsp2
CHL48,hsp2
CHL49,hsp2
CHL50,hsp2
CHL51,hsp2
CHL52,hsp2
CHL53,hsp2
CHL54,hsp2
CHL55,hsp2
CHL57,hsp2
CHL58,hsp2
CHL59,hsp2
CHL60,hsp2
CHL61,hsp2
CHL62,hsp2
CHL63,hsp2
CHL64,hsp2
CHL65,hsp2
CHL66,hsp2
CHL67,hsp2
CHL68,hsp2
CHL69,hsp2
CHL71,hsp2
CHL72,hsp2
CHL73,hsp2
